40 - [1, 1, 0.0021000000000000003, 64, 128, 262144, 64, 0, 0, 0] reward:-59612.541223478016
41 - [5, 2, 0.0024000000000000002, 48, 128, 131072, 64, 4, 0, 0] reward:-15217.68020283788
42 - [10, 4, 0.0013, 96, 16, 4194304, 64, 1, 0, 2] reward:-0.0
43 - [8, 2, 0.0014000000000000002, 128, 80, 262144, 64, 0, 2, 4] reward:-0.0
44 - [6, 6, 0.0016, 48, 80, 1048576, 64, 0, 1, 2] reward:-0.0
45 - [12, 2, 0.0019, 128, 128, 1048576, 64, 4, 1, 2] reward:-0.0
46 - [8, 7, 0.0029000000000000002, 80, 128, 524288, 64, 0, 4, 2] reward:-0.0
47 - [11, 5, 0.0023, 128, 80, 2097152, 64, 4, 0, 2] reward:-0.0
48 - [6, 5, 0.0018000000000000002, 112, 96, 1048576, 64, 4, 1, 1] reward:-0.0
49 - [10, 5, 0.0008, 32, 96, 1048576, 64, 4, 2, 1] reward:-0.0
50 - [3, 2, 0.0023, 96, 112, 131072, 64, 2, 1, 4] reward:-32681.82324682891
51 - [4, 4, 0.0025, 80, 128, 262144, 64, 1, 2, 0] reward:-11276.272605348402
52 - [15, 1, 0.0005, 64, 32, 131072, 64, 4, 1, 4] reward:-0.0
53 - [6, 6, 0.0012000000000000001, 80, 16, 8388608, 64, 4, 4, 4] reward:-0.0
54 - [6, 5, 0.0024000000000000002, 128, 64, 8388608, 64, 4, 1, 4] reward:-0.0
55 - [4, 4, 0.001, 112, 80, 8388608, 64, 4, 4, 0] reward:-0.0
56 - [4, 4, 0.0009, 16, 64, 2097152, 64, 2, 0, 2] reward:-38868.26686547191
57 - [4, 4, 0.0024000000000000002, 48, 80, 4194304, 64, 0, 4, 1] reward:-0.0
58 - [9, 2, 0.0012000000000000001, 48, 48, 8388608, 64, 0, 4, 1] reward:-0.0
59 - [5, 1, 0.0029000000000000002, 16, 96, 524288, 64, 0, 4, 0] reward:-0.0
60 - [5, 1, 0.0029000000000000002, 16, 96, 524288, 64, 0, 4, 0] reward:-0.0
61 - [5, 1, 0.0029000000000000002, 16, 96, 524288, 64, 0, 4, 0] reward:-0.0
62 - [5, 1, 0.0029000000000000002, 16, 96, 524288, 64, 0, 4, 0] reward:-0.0
63 - [5, 1, 0.0029000000000000002, 16, 96, 524288, 64, 0, 4, 0] reward:-0.0
best of init EDYP:0.0
0 - [1, 1, 0.0026000000000000003, 16, 128, 1048576, 64, 0, 0, 0] reward:-173688.05987733818
1 - [5, 3, 0.0015, 80, 64, 524288, 64, 0, 0, 0] reward:-0.0
2 - [6, 2, 0.0006000000000000001, 16, 96, 262144, 64, 0, 0, 0] reward:-0.0
3 - [10, 1, 0.0016, 32, 64, 4194304, 64, 0, 0, 0] reward:-0.0
4 - [10, 4, 0.0013, 80, 128, 131072, 64, 0, 0, 0] reward:-0.0
5 - [14, 1, 0.0013, 16, 64, 8388608, 64, 0, 0, 0] reward:-0.0
6 - [6, 3, 0.0022, 112, 128, 131072, 64, 0, 0, 0] reward:-11086.920751600808
7 - [14, 5, 0.0024000000000000002, 32, 128, 1048576, 64, 0, 0, 0] reward:-0.0
8 - [5, 5, 0.0029000000000000002, 112, 32, 1048576, 64, 0, 0, 0] reward:-0.0
9 - [4, 3, 0.0012000000000000001, 96, 80, 8388608, 64, 0, 0, 0] reward:-0.0
10 - [13, 7, 0.0007, 64, 96, 524288, 64, 0, 0, 0] reward:-0.0
11 - [9, 3, 0.0005, 64, 112, 524288, 64, 0, 0, 0] reward:-0.0
12 - [5, 5, 0.0026000000000000003, 96, 64, 8388608, 64, 0, 0, 0] reward:-0.0
13 - [2, 2, 0.0009, 80, 112, 1048576, 64, 0, 0, 0] reward:-13820.872158454042
14 - [9, 4, 0.0012000000000000001, 32, 64, 524288, 64, 0, 0, 0] reward:-0.0
15 - [7, 2, 0.0026000000000000003, 80, 32, 524288, 64, 0, 0, 0] reward:-0.0
16 - [11, 2, 0.0018000000000000002, 64, 112, 1048576, 64, 0, 0, 0] reward:-0.0
17 - [2, 2, 0.0021000000000000003, 112, 80, 524288, 64, 0, 0, 0] reward:-18161.42815267166
18 - [11, 8, 0.0023, 112, 16, 1048576, 64, 0, 0, 0] reward:-0.0
19 - [7, 7, 0.001, 80, 64, 8388608, 64, 0, 0, 0] reward:-0.0
20 - [7, 3, 0.0024000000000000002, 32, 112, 1048576, 64, 0, 0, 0] reward:-0.0
21 - [7, 7, 0.0005, 112, 96, 262144, 64, 0, 0, 0] reward:-0.0
22 - [4, 4, 0.0028, 112, 96, 131072, 64, 0, 0, 0] reward:-18907.268561938
23 - [11, 8, 0.0008, 128, 48, 262144, 64, 0, 0, 0] reward:-0.0
24 - [11, 2, 0.0029000000000000002, 112, 112, 262144, 64, 0, 0, 0] reward:-0.0
25 - [16, 1, 0.0028, 16, 96, 131072, 64, 0, 0, 0] reward:-0.0
26 - [11, 3, 0.0014000000000000002, 48, 64, 4194304, 64, 0, 0, 0] reward:-0.0
27 - [11, 1, 0.0018000000000000002, 128, 64, 8388608, 64, 0, 0, 0] reward:-0.0
28 - [7, 3, 0.0022, 16, 112, 2097152, 64, 0, 0, 0] reward:-0.0
29 - [12, 5, 0.0017000000000000001, 32, 128, 524288, 64, 0, 0, 0] reward:-0.0
30 - [12, 4, 0.0028, 112, 64, 2097152, 64, 0, 0, 0] reward:-0.0
31 - [15, 7, 0.0027, 48, 128, 2097152, 64, 0, 0, 0] reward:-0.0
32 - [7, 7, 0.0008, 128, 112, 131072, 64, 0, 0, 0] reward:-0.0
33 - [10, 7, 0.002, 64, 80, 262144, 64, 0, 0, 0] reward:-0.0
34 - [1, 1, 0.0012000000000000001, 96, 48, 8388608, 64, 0, 0, 0] reward:-118372.76737237476
35 - [3, 3, 0.0029000000000000002, 16, 64, 262144, 64, 0, 0, 0] reward:-49314.096417486224
36 - [7, 4, 0.0021000000000000003, 112, 112, 1048576, 64, 0, 0, 0] reward:-0.0
37 - [12, 6, 0.0013, 48, 32, 1048576, 64, 0, 0, 0] reward:-0.0
38 - [13, 3, 0.0022, 112, 112, 131072, 64, 0, 0, 0] reward:-0.0
39 - [16, 1, 0.0011, 64, 80, 8388608, 64, 0, 0, 0] reward:-0.0
40 - [12, 4, 0.0011, 112, 128, 4194304, 64, 0, 0, 0] reward:-0.0
41 - [10, 3, 0.0006000000000000001, 128, 128, 524288, 64, 0, 0, 0] reward:-0.0
42 - [5, 5, 0.0009, 16, 16, 1048576, 64, 0, 0, 0] reward:-97407.24917867692
43 - [9, 1, 0.0021000000000000003, 64, 80, 131072, 64, 0, 0, 0] reward:-0.0
44 - [6, 4, 0.0024000000000000002, 80, 64, 4194304, 64, 0, 0, 0] reward:-0.0
45 - [6, 6, 0.0006000000000000001, 96, 112, 2097152, 64, 0, 0, 0] reward:-0.0
46 - [4, 3, 0.0014000000000000002, 32, 96, 2097152, 64, 0, 0, 0] reward:-0.0
47 - [10, 7, 0.001, 128, 64, 131072, 64, 0, 0, 0] reward:-0.0
48 - [3, 3, 0.0022, 128, 64, 524288, 64, 0, 0, 0] reward:-12527.2551153025
49 - [1, 1, 0.001, 80, 80, 4194304, 64, 0, 0, 0] reward:-58657.874761010964
50 - [11, 2, 0.001, 48, 80, 524288, 64, 0, 0, 0] reward:-0.0
51 - [6, 5, 0.0016, 16, 16, 2097152, 64, 0, 0, 0] reward:-0.0
52 - [3, 3, 0.0026000000000000003, 48, 64, 4194304, 64, 0, 0, 0] reward:-27098.35441648215
53 - [13, 1, 0.0023, 96, 48, 1048576, 64, 0, 0, 0] reward:-0.0
54 - [16, 5, 0.0012000000000000001, 128, 64, 4194304, 64, 0, 0, 0] reward:-0.0
55 - [9, 1, 0.0015, 96, 128, 8388608, 64, 0, 0, 0] reward:-0.0
56 - [2, 2, 0.0012000000000000001, 128, 16, 2097152, 64, 0, 0, 0] reward:-73387.45170255465
57 - [5, 5, 0.0017000000000000001, 48, 112, 262144, 64, 0, 0, 0] reward:-0.0
58 - [2, 2, 0.0006000000000000001, 80, 128, 4194304, 64, 0, 0, 0] reward:-0.0
59 - [1, 1, 0.0026000000000000003, 16, 128, 1048576, 64, 0, 0, 0] reward:-173688.05987733818
60 - [1, 1, 0.0026000000000000003, 16, 128, 1048576, 64, 0, 0, 0] reward:-173688.05987733818
61 - [1, 1, 0.0026000000000000003, 16, 128, 1048576, 64, 0, 0, 0] reward:-173688.05987733818
62 - [1, 1, 0.0026000000000000003, 16, 128, 1048576, 64, 0, 0, 0] reward:-173688.05987733818
63 - [1, 1, 0.0026000000000000003, 16, 128, 1048576, 64, 0, 0, 0] reward:-173688.05987733818
best of init EDYP:0.0
0 - [11, 1, 0.0005, 48, 96, 4194304, 64, 0, 0, 0] reward:-0.0
1 - [1, 1, 0.0011, 32, 128, 8388608, 64, 0, 0, 0] reward:-74971.1678538333
2 - [12, 3, 0.0025, 16, 32, 1048576, 64, 0, 0, 0] reward:-0.0
3 - [15, 2, 0.0022, 64, 112, 8388608, 64, 0, 0, 0] reward:-0.0
